ApellidoAutor	Año	Título	NombreDiario	RecuperadodeLink	Etiquetas	GéneroAutor	Idioma
Fundación Lúminis toma datos de Diario Clarín	11 de julio de 2017	Las argentinas deberían vivir 109 años para ver cerrada la brecha salarial	Fundación Lúminis	https://www.fundacionluminis.org.ar/educacion-y-genero/las-argentinas-deberian-vivir-109-anos-ver-cerrada-la-brecha-salarial	Acceso a oportunidades, Brecha salarial, Desigualdad, Discriminación, Estrategias para la equidad, Estadísticas, Techo de cristal, Trabajo	No puedo determinarlo	Español
Lohr, S.	1 de noviembre de 2017	Where the STEM Jobs Are (and Where They Aren't)	The New York Times	https://www.nytimes.com/2017/11/01/education/edlife/stem-jobs-industry-careers.html	Brecha salarial, Cultura empresarial, Educación, Trabajo	Masculino	Inglés
Dizikes, P.	15 de junio de 2016	Why do women leave engineering?	MIT News	http://news.mit.edu/2016/why-do-women-leave-engineering-0615	Acceso a oportunidades, Acceso a puestos de liderazgo, Cultura empresarial, Estereotipos/ prejuicios de género, Discriminación	Masculino	Inglés
ACAMICA	 28 de junio de 2019	El 95% de las apps fue creada por hombres: ¿qué nos estamos perdiendo?	La Voz	https://www.lavoz.com.ar/espacio-de-marca/95-de-apps-fue-creada-por-hombres-que-nos-estamos-perdiendo	Acceso a oportunidades, Ámbito privado, Estereotipos/ prejuicios de género, Desigualdad, Estrategias para la equidad, Mujeres referentes, Techo de cristal, Prácticas de inclusión	No puedo determinarlo	Español
Sin datos	31 de agosto de 2018	California: buscan establecer un cupo femenino en los directorios de las empresas	La Nación	https://www.lanacion.com.ar/el-mundo/california-buscan-establecer-cupo-femenino-directorios-empresas-nid2167541	Acceso a oportunidades, Acceso a puestos de liderazgo, Ámbito privado, Cultura empresarial, Diversidad, Desigualdad, Discriminación, Estrategias para la equidad, Techo de cristal, Prácticas de inclusión, Trabajo	No puedo determinarlo	Español
Trincado, B.	4 de diciembre de 2018	Las ramas de STEM no logran frenar la brecha de género	El Pais	https://cincodias.elpais.com/cincodias/2018/12/03/fortunas/1543862664_321798.html	Brecha salarial, Educación, Desigualdad, Equidad salarial, Estadísticas, Participación en el ámbito CTIM (Ciencia, Tecnología, Ingeniería, Matemáticas), Trabajo	Femenino	Español
Sanguinetti, L.	22 de febrero de 2012	Cinco C y una E: el “Modelo uno a uno” en la Argentina	Página12	https://www.pagina12.com.ar/diario/laventana/26-188061-2012-02-22.html	Acceso a oportunidades, Ámbito público, Educación, Niñez, Desigualdad, Discriminación, Estrategias para la equidad, Estadísticas, Políticas públicas, Objetivos de Desarrollo Sostenible (ODS), Participación en el ámbito CTIM (Ciencia, Tecnología, Ingeniería, Matemáticas), Prácticas de inclusión, Recomendaciones de organismos	Masculino	Español
Seifeddine, R.	23 de febrero de 2019	Why we need to foster gender parity in senior roles	Khaleej Times	https://www.khaleejtimes.com/business/corporate/why-we-need-to-foster-gender-parity-in-senior-roles	Acceso a oportunidades, Acceso a puestos de liderazgo, Ámbito privado, Cultura empresarial, Estereotipos/ prejuicios de género, Estrategias para la equidad, Techo de cristal, Trabajo	Femenino	Inglés
Calero	10 octubre 2018	El Instituto de la Mujer expresa el compromiso de la Administración en la lucha contra la brecha de género en el ámbito STEAM	Innova Spain	https://www.innovaspain.com/instituto-la-mujer-expresa-compromiso-la-administracion-la-lucha-la-brecha-genero-ambito-steam/	Acceso a oportunidades, Ámbito público, Diversidad, Educación, Feminismos, Participación en el ámbito CTIM (Ciencia, Tecnología, Ingeniería, Matemáticas), Prácticas de inclusión, Trabajo, Tecnofeminismo	Masculino	Español
Bellucci, M.	9 de julio de 2017	Faltan programadores, cada año quedan 5 mil puestos vacantes y buscan hasta chicos	Clarin	https://www.clarin.com/sociedad/falta-programadores-quedan-mil-puestos-vacantes-pais_0_B1FHsMlB-.html	Acceso a oportunidades, Educación, Niñez, Estadísticas, Políticas públicas, Participación en el ámbito CTIM (Ciencia, Tecnología, Ingeniería, Matemáticas), Trabajo	Masculino	Español
Gonzalo, M.	28 de junio de 2018	Mujeres programadoras contra los estereotipos: adivina quién va ganando	El País	https://elpais.com/tecnologia/2018/06/14/actualidad/1528977394_341784.html	Acceso a oportunidades, Acceso a puestos de liderazgo, Ámbito privado, Cultura empresarial, Diversidad, Educación, Desigualdad, Objetivos de Desarrollo Sostenible (ODS), Participación en el ámbito CTIM (Ciencia, Tecnología, Ingeniería, Matemáticas), Prácticas de inclusión	Femenino	Español
Nezhati, N.	18 de julio de 2018	How women created some of the world's biggest education tech companies	The Guardian	https://www.theguardian.com/careers/2019/jul/18/how-women-created-some-of-the-worlds-biggest-education-tech-companies	Educación, Niñez, Estrategias para la equidad, Prácticas de inclusión	Femenino	Inglés
Torres Menárquez, A.  	18 de junio de 2018	"Kate Crawford ""Los ricos temen la rebelión de las máquinas, no tienen la rebelión de las maquinas, no tienen otra cosa de la que preocuparse"""	El País	http://www.tic.siteal.iipe.unesco.org/sites/default/files/stic_publicacion_files/tic_cuaderno_genero_20160210.pdf	Estereotipos/ prejuicios de género	Femenino	Español
Sin datos	Sin datos	Gobierno Argentino firma acuerdo con empresas tech para aportar a la equidad de género laboral	Norte en linea	https://www.norteenlinea.com/argentina-y-el-mundo/gobierno-argentino-firma-acuerdo-con-empresas-tech-para-aportar-a-la-equidad-de-genero-laboral	Acceso a oportunidades, Acceso a puestos de liderazgo, Ámbito privado, Ámbito público, Brecha salarial, Cultura empresarial, Diversidad, Desigualdad, Estrategias para la equidad, Equidad salarial, Estadísticas, Techo de cristal, Políticas públicas, Prácticas de inclusión, Trabajo	Femenino	Español
Ballarino, F. 	11 de Febrero de 2019	Científicas argentinas reciben menos fondos de investigación que sus colegas varones	Perfil	https://www.perfil.com/noticias/ciencia/cientificas-argentinas-reciben-menos-fondos-de-investigacion-que-sus-colegas-varones.phtml	Acceso a oportunidades, Acceso a puestos de liderazgo, Ámbito público, Estereotipos/ prejuicios de género, Desigualdad, Discriminación, Estadísticas, Participación en el ámbito CTIM (Ciencia, Tecnología, Ingeniería, Matemáticas), Investigación	Femenino	Español
Sin datos	19 de octubre de 2018	Las chicas 'gamers' son tres veces más propensas a estudiar carreras científicas que las no jugadoras	La Nación	https://www.lanacion.com.ar/tecnologia/las-chicas-gamers-son-tres-veces-mas-nid2183343	Estereotipos/ prejuicios de género, Niñez, Desigualdad, Discriminación, Efectos psicológicos de la desigualdad de género, Estrategias para la equidad, Participación en el ámbito CTIM (Ciencia, Tecnología, Ingeniería, Matemáticas), Videojuegos, Gamers	No puedo determinarlo	Español
FECYT	18 de abril de 2017	Crece el interés de las Mujeres por la ciencia y la tecnología	FECYT	https://www.fecyt.es/es/noticia/crece-el-interes-de-las-mujeres-por-la-ciencia-y-la-tecnologia	Ámbito público, Educación, Desigualdad, Estrategias para la equidad, Estadísticas, Trabajo	Escriben múltiples autorxs (femeninos y masculinos)	Español
Martinez, L.	2018, 10 de octubre	Advierten que la Argentina no cumplirá su meta de reducir la brecha de género en la participación laboral	Chequeado	https://chequeado.com/el-explicador/advierten-que-la-argentina-no-cumplira-su-meta-de-reducir-la-brecha-de-genero-en-la-participacion-laboral/	Ámbito privado, Ámbito público, Cultura empresarial, Estereotipos/ prejuicios de género, Desigualdad, Estadísticas, Techo de cristal, Trabajo, Trabajo no remunerado	Femenino	Español
Sin datos	12 de Febrero de 2016	Women considered better coders – but only if they hide their gender	The Guardian	http://cor.to/Guge	Acceso a oportunidades, Ámbito privado, Brecha salarial, Estereotipos/ prejuicios de género, Desigualdad	Organismos	Inglés
Sin datos	19 de marzo de 2019	Por primera vez, una mujer ganó un premio Abel, considerado el Nobel de las matemáticas	Tiempo Argentino	http://www.tic.siteal.iipe.unesco.org/sites/default/files/stic_publicacion_files/tic_cuaderno_genero_20160210.pdf	Mujeres referentes	No puedo determinarlo	Español
Specia, M. 	22 de mayo de 2019	Siri and Alexa Reinforce Gender Bias, U.N. Finds	The New York Times	https://www.nytimes.com/2019/05/22/world/siri-alexa-ai-gender-bias.html	Diversidad, Educación, Estereotipos/ prejuicios de género, Desigualdad, Participación en el ámbito CTIM (Ciencia, Tecnología, Ingeniería, Matemáticas), Recomendaciones de organismos, Tecnofeminismo, Inteligencia Artificial	Femenino	Inglés
Díaz Langou, G.	13 de septiembre de 2018	Equidad de género: un imperativo para el desarrollo	INFOBAE	https://www.infobae.com/opinion/2018/09/13/equidad-de-genero-un-imperativo-para-el-desarrollo/	Desigualdad, Estadísticas, Políticas públicas, Recomendaciones de organismos	Femenino	Español
Flores Lazo, E.	20 de junio de 2016	Rompiendo paradigmas, mujeres haciendo ciencia	Iberoamérica Divulga	https://www.oei.es/historico/divulgacioncientifica/?Rompiendo-paradigmas-mujeres-haciendo-ciencia	Acceso a oportunidades, Educación, Estereotipos/ prejuicios de género, Niñez, Desigualdad, Discriminación, Efectos psicológicos de la desigualdad de género, Participación en el ámbito CTIM (Ciencia, Tecnología, Ingeniería, Matemáticas), Prácticas de inclusión	Masculino	Español
Lohr, S. 	5 de noviembre de 2017	Where the STEM Jobs Are (and Where They Aren’t)	The New York Times	https://www.nytimes.com/2017/11/01/education/edlife/stem-jobs-industry-careers.html	Educación, Estadísticas, Participación en el ámbito CTIM (Ciencia, Tecnología, Ingeniería, Matemáticas), Trabajo	Masculino	Inglés
Gaido, P.	1 de julio de 2019	Mujeres directivas en Fintech: cuatro experiencias para destacar en Latinoamérica	Reporte FinTech	https://www.reportefintech.com/mujeres-directivas-fintech-cuatro-experiencias-latinoamerica/	Acceso a oportunidades, Acceso a puestos de liderazgo, Ámbito privado, Cultura empresarial, Estadísticas, Techo de cristal, Participación en el ámbito CTIM (Ciencia, Tecnología, Ingeniería, Matemáticas), Trabajo	Femenino	Español
Kleinman, Z.	27 de febrero de 2019	El MWC 2019 tiene tecnología para todo el mundo, pero la mayoría de los asistentes son hombres	La Nación	https://www.lanacion.com.ar/tecnologia/el-mwc-2019-tiene-tecnologia-todo-mundo-nid2223919	Acceso a oportunidades, Acceso a puestos de liderazgo, Ámbito privado, Cultura empresarial, Estereotipos/ prejuicios de género, Desigualdad, Discriminación, Trabajo, MWC, Women4Tech, Conferencias de tecnología	Femenino	Español
White.	19 de junio de 2013	Geeky and not for girls': Technology's big image problem	The Guardian	https://www.theguardian.com/women-in-leadership/2013/jun/19/geeky-technologys-image-problem	Niñez	Femenino	Inglés
Walde, S. 	12 de Agosto de 2016	Gendered toys could deter girls from career in engineering, report says	The Guardian 	https://www.theguardian.com/lifeandstyle/2016/dec/08/gendered-toys-deter-girls-from-career-engineering-technology#	Acceso a oportunidades, Diversidad, Educación, Estereotipos/ prejuicios de género, Niñez, Desigualdad, Efectos psicológicos de la desigualdad de género, Efectos en la salud de la desigualdad de género, Estadísticas, Feminismos, Techo de cristal, Participación en el ámbito CTIM (Ciencia, Tecnología, Ingeniería, Matemáticas), Prácticas de inclusión, Trabajo	Femenino	Inglés
Calero J.	10 de octubre de 2018	El instituto de la mujer expresa compromiso de la administración en la lucha contra la brecha en el ámbito STEAM	InnovaSpain	http://www.sorkinsaberes.org/sites/default/files/archivos/sorkin_guia_completa_cas.pdf	Acceso a oportunidades, Ámbito público, Educación, Niñez, Estrategias para la equidad, Estadísticas, Políticas públicas, Participación en el ámbito CTIM (Ciencia, Tecnología, Ingeniería, Matemáticas), Prácticas de inclusión, Recomendaciones de organismos, Trabajo	Masculino	Español
Portas, N.	5 de mayo de 2019	¿Por qué leemos a Joan Clarke?	Perfil	https://www.perfil.com/noticias/educacion/por-que-leemos-a-joan-clarke.phtml?rd=1&rd=1	Acceso a puestos de liderazgo, Estereotipos/ prejuicios de género, Desigualdad, Mujeres referentes, Participación en el ámbito CTIM (Ciencia, Tecnología, Ingeniería, Matemáticas), Trabajo	Femenino	Español
FECYT	18 de abril de 2017	Crece el interés de las Mujeres por la ciencia y la tecnología	FECYT	https://www.fecyt.es/es/noticia/crece-el-interes-de-las-mujeres-por-la-ciencia-y-la-tecnologia	Ámbito público, Educación, Desigualdad, Estrategias para la equidad, Estadísticas, Trabajo	Escriben múltiples autorxs (femeninos y masculinos)	Español
Dillon, A.	6 de noviembre de 2014	"Educación: la formación universitaria de los argentinos.
Las carreras que más necesita el país son las menos estudiadas"	Clarín	https://www.clarin.com/sociedad/formacion-universitaria-carreras-alumnos_0_BkZ--E_qwme.html	Acceso a oportunidades, Ámbito público, Educación, Estadísticas, Políticas públicas, Trabajo	Masculino	Español
Salgado, L.	8 de marzo de 2019	Q&A: Las matemáticas también empoderan a las mujeres	SciDev	http://cor.to/GugJ	Acceso a puestos de liderazgo, Ámbito público, Brecha salarial, Educación, Estereotipos/ prejuicios de género, Participación en el ámbito CTIM (Ciencia, Tecnología, Ingeniería, Matemáticas), Prácticas de inclusión	Femenino	Español
XIMÉNEZ DE SANDOVAL. P	1 de octubre de 2018 	California obliga por ley a que haya mujeres en los consejos de las compañías cotizadas	El Pais	https://elpais.com/economia/2018/09/30/actualidad/1538342298_298803.html	Ámbito público, Feminismos, Mujeres referentes, Políticas públicas, Prácticas de inclusión	Masculino	Español
Pozzo, E.	23 de mayo de 2019	Sumar mujeres en altos cargos puede aumentar hasta un 20% las ganancias	Cronista	https://www.cronista.com/apertura-negocio/columnistas/Sumar-mujeres-en-altos-cargos-puede-aumentar-hasta-un-20-las-ganancias-20190523-0011.html	Acceso a oportunidades, Acceso a puestos de liderazgo, Brecha salarial, Cultura empresarial, Diversidad, Estadísticas, Mujeres referentes, Techo de cristal, Participación en el ámbito CTIM (Ciencia, Tecnología, Ingeniería, Matemáticas), Incluye fuente primaria	Femenino	Español
Branginski, R. 	24 de enero de 2018	Carreras de ingeniería: hay más varones en las aulas pero ellas tienen los mejores promedios	Clarín	https://www.clarin.com/sociedad/carreras-ingenieria-varones-aulas-mejores-promedios_0_r1KwO58Bf.html	Acceso a oportunidades, Acceso a puestos de liderazgo, Brecha salarial, Educación, Estereotipos/ prejuicios de género, Desigualdad, Mujeres referentes, Techo de cristal, Participación en el ámbito CTIM (Ciencia, Tecnología, Ingeniería, Matemáticas)	Masculino	Español
Balestro, F., et al.	3 de agosto de 2019	Las oportunidades de empleo en las energías renovables ¿son equitativas para hombres y mujeres?	Energía & Negocios	https://www.energiaynegocios.com.ar/2019/08/las-oportunidades-de-empleo-en-las-energias-renovables-son-equitativas-para-hombres-y-mujeres/	Acceso a oportunidades, Acceso a puestos de liderazgo, Brecha salarial, Desigualdad, Participación en el ámbito CTIM (Ciencia, Tecnología, Ingeniería, Matemáticas), Trabajo	Escriben múltiples autorxs (femeninos y masculinos)	Español
Lock, H.	5 de febrero 2019	Here come the girls: teenage tech founders on the future they want	The Guardian	https://www.theguardian.com/careers/2019/feb/05/here-come-the-girls-teenage-tech-founders-on-the-future-they-want	Acceso a oportunidades, Educación, Niñez, Mujeres referentes	Femenino	Inglés
Clive Thomson	13 de febrero 2019	La historia secreta de las mujeres en codificacion	New York Times	https://www.nytimes.com/2019/02/13/magazine/women-coding-computer-programming.html	Estereotipos/ prejuicios de género	Masculino	Inglés
Sin datos	14 de abril de 2018	El primer mapa fintech en el país. Se presentó el informe elaborado por la Cámara Argentina de Fintech	Reporte FinTech	https://www.reportefintech.com/primer-mapa-fintech-pais-se-presento-informe-elaborado-la-camara/	Acceso a oportunidades, Cultura empresarial, Diversidad, Desigualdad, Trabajo	No puedo determinarlo	Español
Cerini, A.	9 de mayo de 2016	Mujeres Científicas ¿Cómo sos? Así quiero ser	Iberoaméricadivulga	https://www.oei.es/historico/divulgacioncientifica/?Mujeres-Cientificas-Como-sos-Asi-quiero-ser	Acceso a oportunidades, Educación, Estereotipos/ prejuicios de género, Niñez, Participación en el ámbito CTIM (Ciencia, Tecnología, Ingeniería, Matemáticas)	Femenino	Español
