Nombre de la organización	Año	Título	Número de la publicación	Recuperado de (link)	Etiquetas	Idioma	Género del Autor/a												
Organización de Estados Iberoamericanos para la Educación, la Ciencia y la Cultura (OEI) Centro Internacional de Estudios Superiores de la Comunicación para América Latina y el Caribe (CIESPAL) Secretaria de Educación Superior, Ciencia, Tecnología e Innovación (SENESCYT) Red de Mujeres Científicas del Ecuador (REMCI)	2019	Impacto de las mujeres en la ciencia	sin datos	https://ciespal.org/wp-content/uploads/2019/06/Mujeres-en-la-cienciaDigital-VFJUL19.pdf	Acceso a oportunidades, Acceso a puestos de liderazgo, Educación, Desigualdad, Estadísticas, Participación en el ámbito CTIM (Ciencia, Tecnología, Ingeniería, Matemáticas), Prácticas de inclusión	Español	Escriben múltiples autorxs (femeninos y masculinos)												
IDESA	2019	Reducir la brecha de género reduce la brecha social	799	https://idesa.org/reducir-la-brecha-de-genero-reduce-la-brecha-social/	Desigualdad, Trabajo	Español	Organismos												
World Economic Forum	2015	The Global Gender Gap Report	sin datos	http://www3.weforum.org/docs/GGGR2015/cover.pdf	Acceso a oportunidades, Acceso a puestos de liderazgo, Ámbito privado, Ámbito público, Brecha salarial, Educación, Datos abiertos, Estadísticas, Trabajo, Participación en política	Inglés	Escriben múltiples autorxs (femeninos y masculinos)												
Ministerio de Ciencia, tecnologia e innovacion Productiva	2014	Indicadores de Ciencia y Tecnologia	sin datos	https://www.argentina.gob.ar/sites/default/files/ind_inst_indicadores-de-ciencia-y-tecnologia-2014.pdf	Datos abiertos, Estadísticas, Políticas públicas, Participación en el ámbito CTIM (Ciencia, Tecnología, Ingeniería, Matemáticas)	Español	Escriben múltiples autorxs (femeninos y masculinos)												
World Economic Forum	2015	The Global Gender Gap Report 2015	10	http://www3.weforum.org/docs/GGGR2015/cover.pdf	Brecha salarial, Educación, Datos abiertos, Equidad salarial, Estadísticas	Inglés	Escriben múltiples autorxs (femeninos y masculinos)												
ONU Mujeres	2017	El Progreso de las Mujeres en América Latina y el Caribe 	sin datos	https://lac.unwomen.org/es/digiteca/publicaciones/2016/12/el-progreso-de-las-mujeres-america-latina-y-el-caribe-2017	Brecha salarial, Desigualdad, Estrategias para la equidad, Equidad salarial, Feminismos, Techo de cristal, Políticas públicas, Trabajo, Trabajo no remunerado	Español	Escriben múltiples autorxs (femeninos y masculinos)												
Accenture	2015	Continuing to Power Economic Growth. Attracting more young women into Science and Technology 2.0	sin datos	https://www.itu.int/en/ITU-D/Digital-Inclusion/Women-and-Girls/Girls-in-ICT-Portal/Documents/Accenture-Stem-Report-Final.pdf	Acceso a oportunidades, Ámbito privado, Educación, Estereotipos/ prejuicios de género, Niñez, Desigualdad, Efectos psicológicos de la desigualdad de género, Estrategias para la equidad, Estadísticas, Participación en el ámbito CTIM (Ciencia, Tecnología, Ingeniería, Matemáticas), Recomendaciones de organismos, Trabajo	Inglés	Organismos												
Digitales, con el apoyo de la Asociación para el progreso de las comunicaciones (APC) y SIDA	2017	Latin  America in a Glimpse	sin datos	https://www.derechosdigitales.org/wp-content/uploads/glimpse2017_spa.pdf	Acceso a oportunidades, Acceso a puestos de liderazgo, Ámbito público, Cultura empresarial, Diversidad, Desigualdad, Discriminación, Estrategias para la equidad, Feminismos, Prácticas de inclusión, Violencia de género	Español	Escriben múltiples autorxs (femeninos y masculinos)												
Ministerio de Educación, Centro de Perfeccionamiento e Investigaciones Pedagógicas	2011	Material de apoyo con perspectiva de género para Formadores y Formadoras	sin datos	http://www.brunner.cl/wp-content/uploads/2013/11/curriculo-de-genero-oculto-para-profesoras-es.pdf	Educación, Estereotipos/ prejuicios de género, Desigualdad, Efectos psicológicos de la desigualdad de género, Estrategias para la equidad, Feminismos	Español	Femenino												
Accenture	2015	Accenture-Stem-Report	sin datos	https://www.itu.int/en/ITU-D/Digital-Inclusion/Women-and-Girls/Girls-in-ICT-Portal/Documents/Accenture-Stem-Report-Final.pdf	Acceso a oportunidades, Acceso a puestos de liderazgo, Ámbito público, Brecha salarial, Diversidad, Educación, Estereotipos/ prejuicios de género, Niñez, Datos abiertos, Desigualdad, Discriminación, Equidad salarial, Estadísticas, Mujeres referentes, Participación en el ámbito CTIM (Ciencia, Tecnología, Ingeniería, Matemáticas), Trabajo, Tecnofeminismo	Inglés	Organismos												
Code.org	2018	One way to increase diversity in your school’s computer science classes?	sin datos	https://medium.com/@codeorg/one-way-to-increase-diversity-in-your-schools-computer-science-classes-2aa36ecaa5f7	Ámbito público, Diversidad, Educación, Estereotipos/ prejuicios de género, Niñez, Desigualdad, Estrategias para la equidad, Estadísticas, Techo de cristal, Prácticas de inclusión, Trabajo	Inglés	Organismos												
Frost y Sullivan	2017	Mujeres en ciberseguridad	sin datos	http://www.diariofemenino.com.ar/documentos/Mujeres_en_Ciberseguridad.pdf	Acceso a puestos de liderazgo, Brecha salarial, Feminismos, Techo de cristal, Prácticas de inclusión, Trabajo	Español	Organismos												
IDESA	2019	Reducir la brecha de género reduce la brecha social	799	https://idesa.org/reducir-la-brecha-de-genero-reduce-la-brecha-social/	Educación, Desigualdad, Discriminación, Trabajo, Trabajo no remunerado	Español	Organismos												
Instituto de la Mujer y para la Igualdad de Oportunidades & Ministerio de Sanidad Servicios Sociales e Igualdad	2018	Brecha Salarial y Científica de Género - Boletín Igualdad Empresa		http://www.igualdadenlaempresa.es/novedades/boletin/docs/BIE_44_Brecha_salarial_y_cientifica_de_genero.pdf	Acceso a puestos de liderazgo, Ámbito privado, Brecha salarial, Cultura empresarial, Equidad salarial, Estadísticas, Techo de cristal, Políticas públicas, Participación en el ámbito CTIM (Ciencia, Tecnología, Ingeniería, Matemáticas), Prácticas de inclusión, Recomendaciones de organismos, Trabajo	Español	Organismos												
Stack Overflow	2019	Developer Survey Results 2019	sin datos	https://insights.stackoverflow.com/survey/2019	Educación, Datos abiertos, Estadísticas	Inglés	No puedo determinarlo												
IDESA	2019	Reducir la brecha de género reduce la brecha social	799	https://idesa.org/reducir-la-brecha-de-genero-reduce-la-brecha-social/	Brecha salarial, Educación, Equidad salarial, Estadísticas, Trabajo, Trabajo no remunerado	Español	Organismos												
CEPAL	2014	Distribución de la población ocupada según nivel de productividad y sexo	sin datos	https://oig.cepal.org	Educación, Desigualdad, Estadísticas, Trabajo	Español	Organismos												
Cátedra Regional Unesco Mujer, Ciencia y Tecnología en América Latina	2017	Las que dieron el sí: mujeres que estudian  Informática en Argentina		https://issuu.com/catunescomujer.org/docs/inv_conaplu_bonder_resumen	Acceso a oportunidades, Ámbito privado, Ámbito público, Diversidad, Educación, Estereotipos/ prejuicios de género, Desigualdad, Estrategias para la equidad, Estadísticas, Prácticas de inclusión	Español	Femenino												
CIPPEC.ORG	2018	Obstáculos y oportunidades para las mujeres en el mundo de las Pequeñas y Medianas Empresas	sin datos	https://www.cippec.org/publicacion/obstaculos-y-oportunidades-para-las-mujeres-en-el-mundo-de-las-pequenas-y-medianas-empresas/	Acceso a oportunidades, Acceso a puestos de liderazgo, Ámbito privado, Datos abiertos, Desigualdad, Estadísticas, Techo de cristal, Trabajo	Español	Escriben múltiples autorxs (femeninos y masculinos)												
Ministerio de Ciencia, Innovación y Universidades 	2018	CIENTÍFICAS EN CIFRAS 2017 - Estadísticas e indicadores de la (des)igualdad de género en la formación y profesión científica		http://www.ciencia.gob.es/stfls/MICINN/Ministerio/FICHEROS/UMYC/Cientificas_cifras_2017.pdf	Acceso a oportunidades, Educación, Estadísticas, Participación en el ámbito CTIM (Ciencia, Tecnología, Ingeniería, Matemáticas), Trabajo, Investigación	Español	Escriben múltiples autorxs (femeninos y masculinos)												
International Labour Office	2016	Women at Work: Trends 2016	sin datos	https://www.ilo.org/wcmsp5/groups/public/---dgreports/---dcomm/---publ/documents/publication/wcms_457317.pdf	Acceso a oportunidades, Acceso a puestos de liderazgo, Ámbito privado, Ámbito público, Brecha salarial, Educación, Datos abiertos, Discriminación, Equidad salarial, Estadísticas, Trabajo, Trabajo no remunerado	Inglés	No puedo determinarlo												
BID	2017	La generación Y en la era de la integración 4.0	sin datos	https://publications.iadb.org/bitstream/handle/11319/8347/Compas-Millennial-La-generacion-Y-en-la-era-de-la-integracion-4-0.pdf	Acceso a oportunidades, Diversidad, Educación, Estereotipos/ prejuicios de género, Estrategias para la equidad, Estadísticas, Políticas públicas, Participación en el ámbito CTIM (Ciencia, Tecnología, Ingeniería, Matemáticas), Trabajo	Español	Organismos												
UMyC	2016	Científicas en cifras 2015	sin datos	https://www.amit-es.org/sites/default/files/pdf/publicaciones/informe_cientificas_en_cifras_2015.pdf	Acceso a oportunidades, Diversidad, Datos abiertos, Desigualdad, Estadísticas, Participación en el ámbito CTIM (Ciencia, Tecnología, Ingeniería, Matemáticas), Trabajo	Español	Organismos												
PEW Research Center	2017	Gender discrimination comes in many forms. Here´s why		https://www.weforum.org/agenda/2017/12/gender-discrimination-comes-in-many-forms-heres-why	Estereotipos/ prejuicios de género, Desigualdad, Discriminación, Equidad salarial, Estadísticas, Techo de cristal, Trabajo	Inglés	Femenino												
Conferencia Regional SOBRE LA MUJER de América Latina y el Caribe	2013	Mujeres en la economía digital Superar el umbral de la desigualdad	579	https://repositorio.cepal.org/bitstream/handle/11362/16561/1/S2013579_es.pdf	Acceso a oportunidades, Ámbito privado, Ámbito público, Educación, Desigualdad, Estrategias para la equidad, Estadísticas, Políticas públicas, Participación en el ámbito CTIM (Ciencia, Tecnología, Ingeniería, Matemáticas), Prácticas de inclusión, Recomendaciones de organismos	Español	Escriben múltiples autorxs (femeninos y masculinos)												
Secretaria de Planeacion y Evaluacion de Politicas Educativas	2015	AVANCES Y RETOS PARA LA IGUALDAD DE GÉNERO EN EL SECTOR EDUCATIVO	sin datos	http://genero.seg.guanajuato.gob.mx/wp-content/uploads/2015/11/Conferencia-Avances-y-Retos.pdf	Educación, Estereotipos/ prejuicios de género, Niñez, Discriminación, Efectos psicológicos de la desigualdad de género, Feminismos, Salud mental, Violencia de género	Español	Femenino												
Observatorio de Defensoras de los Derechos Humanos de las Mujeres del G20	2018	Documento de Aportes para el Foro de Consulta y Debate	sin datos	http://feim.org.ar/wp-content/uploads/2018/08/Publicaci%C3%B3n-del-Observatorio-1.pdf 	Ámbito público, Educación, Desigualdad, Políticas públicas, Prácticas de inclusión, Trabajo, Violencia de género	Español	Organismos												
sysarmy	2014	Encuesta de sueldos 	sin datos	https://mujeresconciencia.com/2018/06/06/microagresiones-de-genero-en-el-entorno-stem/	Brecha salarial, Estereotipos/ prejuicios de género, Desigualdad, Estadísticas, Trabajo	Inglés	Escriben múltiples autorxs (femeninos y masculinos)												
Banco Interamericano de Desarrollo	2018	Las brechas de género en ciencia, tecnología e innovación en América Latina y el Caribe	sin datos	https://publications.iadb.org/bitstream/handle/11319/8863/Las-brechas-de-genero-en-ciencia-tecnologia-e-innovacion-en-America-Latina-y-el-Caribe.pdf	Brecha salarial, Cultura empresarial, Diversidad, Estereotipos/ prejuicios de género, Desigualdad, Discriminación, Estrategias para la equidad, Estadísticas, Participación en el ámbito CTIM (Ciencia, Tecnología, Ingeniería, Matemáticas), Trabajo	Español	Escriben múltiples autorxs (femeninos y masculinos)												
Asociación de técnicos informáticos	2015	Opinion Profesionales TI Empleo Femenino	sin datos	http://www2.ati.es/PDF/OpinionProfesionalesTIEmpleoFemenino2015.pdf	Acceso a oportunidades, Ámbito privado, Brecha salarial, Datos abiertos, Equidad salarial, Estadísticas, Participación en el ámbito CTIM (Ciencia, Tecnología, Ingeniería, Matemáticas), Trabajo	Español	Organismos												
Banco Interamericano de Desarrollo (BID)	2019	Inversión con un enfoque de géner o: Cómo las finanzas pueden acelerar la igualdad de género para América Latina y el Caribe	sin datos	https://digital-iadb.lpages.co/bid-invest-genero-y-finanzas/ 	Acceso a oportunidades, Acceso a puestos de liderazgo, Ámbito privado, Cultura empresarial, Desigualdad, Estrategias para la equidad, Estadísticas, Prácticas de inclusión, Recomendaciones de organismos, Trabajo	Español	Organismos												
Secretaria de planeamiento y políticas	2018	Relevamiento de Actividades de Ciencia y Tecnológicas (RACT) 2016 Indicadores en clave de Género	sin datos	http://www.ragcyt.org.ar/descargas/748_doc.pdf	Acceso a puestos de liderazgo, Ámbito privado, Ámbito público, Educación, Datos abiertos, Estadísticas, Participación en el ámbito CTIM (Ciencia, Tecnología, Ingeniería, Matemáticas), Trabajo	Español	Organismos												
Proyecto ACTonGender FLACSO, Argentina 	2019	Planes de igualdad de género en universidades y centros de investigación de América Latina.	sin datos	https://www.catunescomujer.org/wp-content/uploads/2016/11/ACTonGender-ALC_31_07.pdf	Ámbito público, Educación, Desigualdad, Estrategias para la equidad, Estadísticas, Políticas públicas, Prácticas de inclusión	Español	Femenino												
Accenture	2013	Women in Technology: Leaders of Tomorrow	sin datos	https://www.accenture.com/_acnmedia/accenture/conversion-assets/dotcom/documents/about-accenture/pdf/1/accenture-the-glass-hammer-women-in-technology-final.pdf	Acceso a puestos de liderazgo, Desigualdad, Estadísticas, Participación en el ámbito CTIM (Ciencia, Tecnología, Ingeniería, Matemáticas), Trabajo	Inglés	Escriben múltiples autorxs (femeninos y masculinos)												
International Labour Organization 	2016	Women at Work: Trends 2016	sin datos	https://www.ilo.org/wcmsp5/groups/public/---dgreports/---dcomm/---publ/documents/publication/wcms_457317.pdf	Brecha salarial, Discriminación, Trabajo, Trabajo no remunerado, Sindicalismo, Igualdad de derechos, Desempleo, Responsabilidades familiares, Países desarrollados, Países en desarrollo	Inglés	Escriben múltiples autorxs (femeninos y masculinos)												
THE NEW YORK ACADEMY OF SCIENCES	2014	The global STEM paradox	sin datos	https://www.nyas.org/media/15805/global_stem_paradox.pdf	Acceso a oportunidades, Ámbito privado, Ámbito público, Educación, Datos abiertos, Estadísticas, Políticas públicas, Participación en el ámbito CTIM (Ciencia, Tecnología, Ingeniería, Matemáticas), Trabajo	Inglés	Escriben múltiples autorxs (femeninos y masculinos)												
World Economic Forum	2015	The Global Gender Gap Report	sin datos	http://www3.weforum.org/docs/GGGR2015/cover.pdf	Brecha salarial, Cultura empresarial, Trabajo	Inglés	Organismos												
International Labour Organization	2014	Rules of the Game: A brief introduction to International Labour Standards	3	https://www.ilo.org/wcmsp5/groups/public/---ed_norm/---normes/documents/publication/wcms_318141.pdf	Cultura empresarial, Recomendaciones de organismos, Trabajo, Equidad de oportunidades en el ambiente laboral, maternidad en el trabajo, políticas de empleo, 	Inglés	Organismos												
Accenture	0000	INFORME ECOSISTEMA FINTECH ARGENTINO	sin datos	http://camarafintech.com.ar/wp-content/uploads/2019/06/Informe-Ecosistema-Fintech-Argentino.pdf	Acceso a puestos de liderazgo, Cultura empresarial, Diversidad, Educación, Desigualdad	Español	Organismos												
OECD	2016	Skills for a Digital World	sin datos	https://www.oecd.org/internet/ministerial/meeting/Skills-for-a-Digital-World-discussion-paper.pdf	Participación en el ámbito CTIM (Ciencia, Tecnología, Ingeniería, Matemáticas), Habilidades digitales	Inglés	Organismos												
Organización de Estados Iberoamericanos (OEI)	2016	¿La ciencia tiene sexo? ... estudio sobre actitudes e intereses en la ciencia por género	sin datos	https://www.oei.es/historico/divulgacioncientifica/?La-ciencia-tiene-sexo-estudio-sobre-actitudes-e-intereses-en-la-ciencia-por	Educación, Niñez, Estadísticas	Español	Escriben múltiples autorxs (femeninos y masculinos)												
Council of Advisors on Science and Technology	2012	ENGAGE TO EXCEL: PRODUCING ONE MILLION ADDITIONAL COLLEGE GRADUATES WITH DEGREES IN SCIENCE, TECHNOLOGY, ENGINEERING, AND MATHEMATICS	sin datos	https://files.eric.ed.gov/fulltext/ED541511.pdf	Ámbito público, Educación, Datos abiertos, Estadísticas, Políticas públicas, Objetivos de Desarrollo Sostenible (ODS), Participación en el ámbito CTIM (Ciencia, Tecnología, Ingeniería, Matemáticas), Recomendaciones de organismos, Trabajo	Inglés	Escriben múltiples autorxs (femeninos y masculinos)												
Unifem	2010	Justicia de Género: Clave para Alcanzar los Objetivos de Desarrollo del Milenio	sin datos	http://cor.to/Gugt	Acceso a oportunidades, Estereotipos/ prejuicios de género, Discriminación, Efectos en la salud de la desigualdad de género, Políticas públicas, Recomendaciones de organismos	Español	Organismos												
UIT	2016	La UIT pública las cifras de 2016 de las TIC	sin datos	https://www.itu.int/es/mediacentre/Pages/2016-PR30.aspx	Acceso a oportunidades, Desigualdad, Estadísticas, Objetivos de Desarrollo Sostenible (ODS), Brecha digital	Español	Organismos												
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
